category,hood,weekday,month,hour,count
THEFT,SouthEast,5,01,11,1
OTHER,SouthEast,5,01,11,1
OTHER,SouthEast,5,01,11,1
OTHER,SouthEast,5,01,11,1
THEFT,Center,5,01,11,1
THEFT,Center,5,01,11,1
DRUG/ALC,Center,5,01,11,1
OTHER,NorthWest,5,01,10,1
OTHER,NorthWest,5,01,12,1
OTHER,SouthEast,5,01,09,1
SEX,NorthWest,5,01,13,1
FRAUD,NorthEast,5,01,02,1
THEFT,NorthEast,5,01,01,1
OTHER,NorthEast,5,01,02,1
THEFT,NorthEast,5,01,10,1
OTHER,Center,5,01,13,1
OTHER,Center,5,01,13,1
OTHER,SouthEast,5,01,13,1
DRUG/ALC,NorthEast,5,01,13,1
OTHER,NorthEast,5,01,13,1
OTHER,NorthEast,5,01,13,1
OTHER,NorthWest,5,01,12,1
OTHER,SouthEast,3,01,09,1
OTHER,NorthEast,3,01,11,1
CONDUCT,NorthWest,3,01,11,1
OTHER,Center,3,01,12,1
SEX,NorthWest,3,01,07,1
THEFT,SouthWest,3,01,07,1
OTHER,Center,2,01,17,1
OTHER,Center,3,01,13,1
CONDUCT,Center,3,01,13,1
THEFT,NorthEast,1,01,21,1
THEFT,NorthEast,2,01,17,1
THEFT,SouthWest,3,01,09,1
OTHER,Center,3,01,00,1
TRESPASSING,NorthEast,3,01,13,1
THEFT,NorthEast,3,01,13,1
THEFT,NorthEast,3,01,10,1
DRUG/ALC,NorthEast,3,01,13,1
FRAUD,NorthEast,3,01,13,1
OTHER,NorthEast,3,01,13,1
SEX,SouthEast,2,01,20,1
THEFT,NorthEast,1,01,10,1
OTHER,NorthEast,3,01,14,1
OTHER,NorthEast,3,01,14,1
THEFT,NorthEast,3,01,14,1
OTHER,NorthEast,3,01,14,1
OTHER,NorthEast,3,01,14,1
THEFT,NorthEast,2,01,17,1
FRAUD,NorthEast,2,01,17,1
THEFT,NorthWest,1,01,14,1
THEFT,NorthEast,3,01,13,1
THEFT,NorthWest,3,01,14,1
OTHER,NorthWest,3,01,06,1
THEFT,Center,3,01,12,1
FRAUD,Center,3,01,12,1
OTHER,Center,3,01,12,1
THEFT,NorthEast,3,01,12,1
OTHER,NorthEast,3,01,14,1
THEFT,SouthEast,2,01,12,1
CONDUCT,NorthEast,3,01,13,1
OTHER,NorthEast,3,01,12,1
DRUG/ALC,SouthEast,3,01,15,1
OTHER,SouthEast,3,01,15,1
SEX,NorthEast,3,01,14,1
FRAUD,NorthEast,3,01,14,1
OTHER,NorthEast,3,01,15,1
